"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm"
"1021938220737076655","5Bedroom Hous walk to GardenCity","545118414","Timmy","143","Upper Mount Gravatt","-27.560794987418618","153.08594222338542","Entire home/apt","257","1","8","2024-05-20","1.19","4","231","8"
"1022040590695023876","Room3 - Hot Tub, Ice Bath, Gym, Sauna & Pool Table","45042575","Wade","42","Coorparoo","-27.4852","153.0562","Private room","88","1","11","2024-06-03","1.63","5","217","11"
"1022177819574817427","Peaceful living n good location","545970298","Vincent","118","Runcorn","-27.60968496234879","153.06380867958072","Private room","55","2","11","2024-06-06","1.68","2","242","11"
"1022317184235065134","Netflix，Peaceful 3BR Morningside Gem: Cozy Retreat","535719931","Yue","94","Morningside - Seven Hills","-27.4647818","153.0672617","Entire home/apt","200","2","10","2024-05-12","1.55","3","224","10"
"1022761872095974753","Courtyard City Studio Apartment","546084545","Kristy","126","Spring Hill","-27.45765","153.02888","Entire home/apt","150","3","11","2024-05-26","1.63","1","226","11"
"1022875075598026156","Luxury city center king bed apartment","6803265","Liz","21","Brisbane City","-27.4704432","153.0275338","Entire home/apt","161","2","3","2024-02-16","0.5","1","121","3"
"1023000990671194410","Quiet house, Near Wynnum station","28532121","Nick","155","Wynnum","-27.43476","153.16527","Private room","115","1","6","2024-02-08","0.92","2","270","6"
"1023015506091907545","The Urban Upgrade Newstead","24496589","Lesley","101","Newstead - Bowen Hills","-27.450917947269136","153.04305169693652","Entire home/apt","157","1","17","2024-05-09","2.66","3","105","17"
"1023048252505776601","Private Room in a Quiet Street","430444995","Anthony","69","Holland Park West","-27.5246167","153.0598556","Private room","90","1","33","2024-05-26","4.97","1","230","33"
"1023599803217604601","Tranquil 3-Bed Family Home with Spacious Backyard","279001183","MadeComfy","105","Nundah","-27.402060219362763","153.0597240797161","Entire home/apt","262","3","4","2024-03-28","0.69","93","325","4"
"1023709874666104910","West End Rooftop pool 2 bed 1 Bath secure car spot","24507939","Ping","147","West End","-27.48138515665811","153.00290682183973","Entire home/apt","191","1","1","2024-01-02","0.19","1","24","1"
"1024093313593457533","Modern Art in the City","52072808","Mara","21","Brisbane City","-27.47259665945939","153.02923105432626","Entire home/apt","148","2","22","2024-06-03","3.47","1","120","22"
"1024172237842595324","Modern & Homelike Apt in Fortitude Valley","223468234","Slife","58","Fortitude Valley","-27.455009908235116","153.0321320289229","Entire home/apt","142","2","25","2024-05-20","3.68","22","82","25"
"1024207141626340215","布里斯班Indooroopilly之家","22713857","Stephen","71","Indooroopilly","-27.500152412317853","152.9706507724788","Private room","166","1","1","2024-05-17","1","1","90","1"
"1024226281502494786","Newstead 1-bdr Apt w/free car park &fantastic pool","174545000","Fion","101","Newstead - Bowen Hills","-27.452033710715945","153.0415623161484","Entire home/apt","117","1","27","2024-05-18","4.01","6","79","27"
"1024291829626042833","Home away from Home","527580314","Arvinder","25","Calamvale - Stretton","-27.6276365","153.0475741","Entire home/apt","206","2","35","2024-06-07","5.47","1","212","35"
"1024447743688386886","Home and Away Fortitude Valley","546442191","Simon","99","New Farm","-27.459773411502468","153.0400872933209","Entire home/apt","201","3","22","2024-05-27","3.37","1","21","22"
"1024458495573332441","New renovated entire 4 Bedroom entire house","484338226","Emma","115","Rochedale - Burbank","-27.59458484656311","153.11585479397482","Entire home/apt","212","1","5","2024-05-19","0.83","9","24","5"
"1024510523069909816","3 bed town house with pool","23731561","Stephanie","24","Bulimba","-27.445323898047484","153.0530674114551","Entire home/apt","300","1","2","2024-01-03","0.36","1","270","2"
"1024768476610217185","Queenslander with character","37322923","Ross","9","Auchenflower","-27.469365376891588","152.994285758197","Private room","85","2","6","2024-05-10","1.02","1","105","6"
"1024858598544909457","Aircon! Walk to Train and Shops! Serviced by Jims!","525145710","Smart-Suites","81","Kuraby","-27.604834269964897","153.09538312538146","Entire home/apt","99","1","12","2024-05-22","1.99","66","170","12"
"1024860602179996549","Riverside 2 Bedrooms apartment w parking and view","539149260","Alessandra","99","New Farm","-27.4655293","153.040106","Entire home/apt","227","1","16","2024-05-26","2.38","13","107","16"
"1024924992189085842","Stylish Inner-City Oasis w/ Pool & Rooftop Terrace","205431023","AirKeeper","125","South Brisbane","-27.4767904","153.0159868","Entire home/apt","170","2","7","2024-05-14","1.07","23","326","7"
"1025033851217608954","Brisbane on a Budget","493654410","Jack","125","South Brisbane","-27.47560382053853","153.01553208403706","Entire home/apt","214","1","48","2024-06-01","7.7","1","116","48"
"1020518659648237294","Tangalooma Panoramic Views","30558520","Paula","93","Moreton Island","-27.181223398574584","153.37491134277798","Entire home/apt","540","1","0",NULL,NULL,"28","114","0"
"1023728140876945057","Heart of Teneriffe 2 Beds 2 Bathrooms","119264831","Alejandra","101","Newstead - Bowen Hills","-27.45449","153.04663","Entire home/apt","299","2","0",NULL,NULL,"2","11","0"
"1025098714809859366","Comfy Room In A Central Spot","21104558","Andre","39","Clayfield","-27.41119397555915","153.05336283363687","Private room","105","1","40","2024-05-09","8.51","1","10","40"
"1025136660340330983","2 rooms in New house with New furnitures","546593361","Angelina","132","Sunnybank Hills","-27.5953568","153.0471601","Private room","136","1","7","2024-03-08","1.1","9","268","7"
"1025314819922021661","Rustic Sunflower: Light Breakfast included","114639797","Rachanee","76","Karana Downs","-27.546634974794554","152.80097640721266","Private room","82","1","16","2024-05-23","2.81","2","332","16"
"1025410086347680461","Cute Master room to enjoy","218738860","Tham","122","Seventeen Mile Rocks - Sinnamon Park","-27.5440523","152.9508647","Private room","72","5","2","2024-02-21","0.31","3","121","2"
"1025495440954724273","Wagtail Cottage","545181888","Pam","110","Pinjarra Hills - Pullenvale","-27.563824556337646","152.8532381882345","Entire home/apt","112","1","19","2024-06-04","3.52","1","195","19"
"1025627131447340412","Gabba Gateway: Modern 2BR Apt near CBD","482165605","Dan","153","Woolloongabba","-27.488220346153724","153.038286878051","Entire home/apt","176","2","19","2024-05-18","2.94","13","310","19"
"1025759812952574428","Centrally located clean and tidy","546580269","Ying","147","West End","-27.4817528","153.0116952","Private room","88","2","1","2023-12-23","0.18","1","270","1"
"1025763775625417745","Luxury CBD Expansive River Views | 3 Bed","83433307","Brian","21","Brisbane City","-27.462464908190817","153.0328290392802","Entire home/apt","246","1","36","2024-05-21","6.35","3","199","36"
"1026259501653000039","Chic 2-Bed with Rooftop Pool Overlooking the City","279001183","MadeComfy","125","South Brisbane","-27.474017617538777","153.0173429432428","Entire home/apt","300","3","13","2024-05-28","2.47","93","305","13"
"1026297327194320739","Convenient 1B Apt at Central Location with Parking","493106379","The Cassa","140","Toowong","-27.487428886447603","152.99139658583704","Entire home/apt","153","2","12","2024-05-19","1.78","5","52","12"
"1026300394215967333","The Cordelia—Sweeping South Brisbane Style","519005019","Rudi And Ish","125","South Brisbane","-27.4810062","153.0197899","Entire home/apt","232","2","14","2024-05-29","2.15","28","171","14"
"1026312696175411125","Gabba's Lookout, Super Comfy Beds, Pool Spa&Sauna","111908125","James & Lulu","153","Woolloongabba","-27.487616347381245","153.0387522423279","Entire home/apt","232","1","74","2024-05-29","10.99","3","126","74"
"1026338374715048404","Story Bridge view apartment with parking and pool","539149260","Alessandra","58","Fortitude Valley","-27.4621408","153.0346644","Entire home/apt","296","1","20","2024-05-19","3.35","13","84","20"
"1026447143923334568","Master bedroom with ensuite","383085884","Sherry","78","Kelvin Grove - Herston","-27.4452221222192","153.00733481256208","Private room","70","3","10","2024-05-04","2.54","1","56","10"
"1026468359392407742","Brisbane Suite, Parking, 2BR","224430489","Craig","21","Brisbane City","-27.4718535","153.0288312","Entire home/apt","208","2","61","2024-05-22","9.29","1","250","61"
"1026484745677732645","Brand New Townhouse in Rochedale","252076864","Richard","115","Rochedale - Burbank","-27.579226410776517","153.1072704002349","Entire home/apt","213","3","2","2024-05-25","0.92","1","50","2"
"1026615512067576143","Your Cozy Stay Near The Airport","239742280","Neha","105","Nundah","-27.405020076336985","153.05853957714783","Private room","97","1","22","2024-06-04","3.33","1","265","22"
"1026993982160490172","1BR Apt with Parking and Pool near Shops","344530617","Airtrip Home","140","Toowong","-27.487389721402632","152.99101532259073","Entire home/apt","133","1","6","2024-05-06","0.96","13","145","6"
"1027051353134217342","Cfamily 8N05 master room","12037538","Cfamily","114","Robertson","-27.57065618876473","153.0587662755688","Private room","81","1","1","2023-12-11","0.17","31","270","1"
"1027052852855077763","Tranquil Luxury Workers' Cottage","4128264","Kettina","78","Kelvin Grove - Herston","-27.45117596113656","153.0094766884095","Entire home/apt","437","3","3","2024-01-12","0.57","1","79","3"
"1027651055423778108","21st Fl Chic 2BR Apt mount’n/city views KG+QN Beds","386076742","Nicole","125","South Brisbane","-27.4735085","153.0137757","Entire home/apt","266","2","25","2024-06-03","4.57","3","255","25"
"1027881422572706456","Luxury in Heart of Brisbane - Car*Pool*Gym*Sauna","98750970","Ann","125","South Brisbane","-27.4813733","153.0230044","Entire home/apt","178","3","8","2024-05-15","1.33","3","104","8"
