"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"935939732755617383","Christmas Holiday House in Hawthorne","63558230","Kristen",NULL,"Hawthorne","-27.462500308170338","153.05789837788083","Entire home/apt","315","14","1","2023-12-31","0.19","1","64","1",NULL
"936050631344958516","Holliday house","21048164","Angelina",NULL,"Robertson","-27.567187363046028","153.0634995761989","Entire home/apt","242","1","4","2024-05-12","0.4","2","75","4",NULL
"936451831818374151","Queen Bed with Air Con, 65 inch 4KTV, Gym and Spa","36099644","Norman",NULL,"Albion","-27.426639119739797","153.04436985775538","Private room","71","1","2","2023-10-31","0.22","7","365","2",NULL
"936635412197431999","Celebrate 'n' Chill in the City","491379860","Selina",NULL,"Brisbane City","-27.4719022","153.0249499","Entire home/apt","173","2","0",NULL,NULL,"2","10","0",NULL
"937111068916610906","Kingsley Breeze","100717885","Anton",NULL,"Manly - Lota","-27.451784702298728","153.1843369730164","Entire home/apt","690","5","1","2024-01-04","0.19","2","25","1",NULL
"937222331813887858","The Garden Studio Brighton","526164705","George",NULL,"Brighton (Qld)","-27.2935925","153.0593151","Entire home/apt","150","1","34","2024-06-03","3.25","1","315","34",NULL
"937234900597132794","Affordable Spacious Queen & Single Suite w Pool","513838451","QLD Motel",NULL,"Kangaroo Point","-27.481095010760782","153.03538352923505","Entire home/apt","181","1","2","2024-03-15","0.47","18","364","2",NULL
"937309450309077359","Sensational Riverside Getaway 2brm&2bth","204163681","Young",NULL,"Kangaroo Point","-27.4770064318021","153.0403668575469","Entire home/apt","120","3","7","2024-05-20","0.65","3","101","7",NULL
"937358639853676494","Heritage Loft in Brisbane City","42440313","Alisha",NULL,"Spring Hill","-27.4626333","153.0303489","Entire home/apt","159","1","58","2024-06-07","6.59","1","204","58",NULL
"937378571143009615","Fortitude Valley Luxury Hosted Stay","513533845","Ben",NULL,"Fortitude Valley","-27.45779","153.03156","Private room","124","2","30","2024-05-18","2.83","1","149","30",NULL
"937386911104907907","Brisbane Luxury Gabba Apartment","6404711","Hannah",NULL,"Kangaroo Point","-27.484581730475124","153.0375907539673","Entire home/apt","225","4","15","2024-05-20","1.5","1","81","15",NULL
"937468567702497740","Double bed, own bathroom, woman guest only","151622987","Xiaodan",NULL,"Oxley (Qld)","-27.55705178482973","152.9684706257807","Private room","69","1","3","2024-05-20","0.31","1","95","3",NULL
