"room_type","neighbourhood","avg_revenue"
"Private room","Grange","49.2000000000000000"
"Entire home/apt","Greenslopes","193.2857142857142857"
"Private room","Greenslopes","79.1111111111111111"
"Hotel room","Hamilton (Qld)","259.0000000000000000"
"Entire home/apt","Hamilton (Qld)","230.4871794871794872"
"Private room","Hamilton (Qld)","143.2500000000000000"
"Entire home/apt","Hawthorne","272.3125000000000000"
"Private room","Hawthorne","75.3333333333333333"
"Entire home/apt","Hendra","1155.7500000000000000"
"Private room","Hendra","78.6000000000000000"
"Entire home/apt","Highgate Hill","271.5500000000000000"
"Private room","Highgate Hill","125.1818181818181818"
"Shared room","Highgate Hill","43.0000000000000000"
"Entire home/apt","Holland Park","201.3333333333333333"
"Private room","Holland Park","103.0000000000000000"
"Entire home/apt","Holland Park West","191.4285714285714286"
"Private room","Holland Park West","70.5000000000000000"
"Entire home/apt","Inala - Richlands","137.0000000000000000"
"Private room","Inala - Richlands","64.1000000000000000"
"Entire home/apt","Indooroopilly","156.5000000000000000"
"Private room","Indooroopilly","129.8000000000000000"
"Entire home/apt","Jindalee - Mount Ommaney","202.5000000000000000"
"Private room","Jindalee - Mount Ommaney","84.5000000000000000"
"Entire home/apt","Kangaroo Point","263.1500000000000000"
"Private room","Kangaroo Point","149.7500000000000000"
"Entire home/apt","Karana Downs","196.6000000000000000"
"Private room","Karana Downs","81.0000000000000000"
"Entire home/apt","Kedron - Gordon Park","159.3888888888888889"
"Private room","Kedron - Gordon Park","74.5000000000000000"
"Entire home/apt","Kelvin Grove - Herston","244.9583333333333333"
"Private room","Kelvin Grove - Herston","78.8571428571428571"
"Entire home/apt","Kenmore","187.8888888888888889"
"Private room","Kenmore","177.0000000000000000"
"Entire home/apt","Keperra","258.0000000000000000"
"Entire home/apt","Kuraby","99.0000000000000000"
"Private room","Kuraby","86.8750000000000000"
"Entire home/apt","Macgregor (Qld)","181.5000000000000000"
"Private room","Macgregor (Qld)","60.7142857142857143"
"Private room","Manly - Lota","1000.0000000000000000"
"Entire home/apt","Manly - Lota","300.8780487804878049"
"Entire home/apt","Manly West","133.6000000000000000"
"Entire home/apt","Mansfield (Qld)","257.5000000000000000"
"Private room","Mansfield (Qld)","78.5000000000000000"
"Entire home/apt","McDowall","208.6666666666666667"
"Private room","Middle Park - Jamboree Heights","63.5000000000000000"
"Entire home/apt","Mitchelton","171.6666666666666667"
"Private room","Mitchelton","101.5000000000000000"
"Entire home/apt","Moorooka","200.6153846153846154"
"Private room","Moorooka","83.6250000000000000"
"Entire home/apt","Moreton Island","480.8070175438596491"
"Private room","Moreton Island","159.0000000000000000"
"Entire home/apt","Morningside - Seven Hills","247.3157894736842105"
"Private room","Morningside - Seven Hills","97.6666666666666667"
"Entire home/apt","Mount Gravatt","203.5555555555555556"
"Shared room","Mount Gravatt","120.0000000000000000"
"Private room","Mount Gravatt","78.6666666666666667"
"Entire home/apt","Murarrie","256.5000000000000000"
"Private room","Murarrie","74.0000000000000000"
"Entire home/apt","New Farm","296.0099009900990099"
"Private room","New Farm","131.5555555555555556"
"Entire home/apt","Newmarket","177.8333333333333333"
"Private room","Newmarket","140.7500000000000000"
"Private room","Newstead - Bowen Hills","397.8500000000000000"
"Entire home/apt","Newstead - Bowen Hills","241.5673758865248227"
"Entire home/apt","Norman Park","348.2222222222222222"
"Private room","Norman Park","117.8000000000000000"
"Entire home/apt","Northgate - Virginia","414.5000000000000000"
"Private room","Northgate - Virginia","72.0000000000000000"
"Entire home/apt","Nudgee - Banyo","194.3636363636363636"
"Private room","Nudgee - Banyo","79.2000000000000000"
"Entire home/apt","Nundah","211.0000000000000000"
"Private room","Nundah","103.8750000000000000"
"Entire home/apt","Oxley (Qld)","201.5000000000000000"
"Private room","Oxley (Qld)","84.5000000000000000"
"Entire home/apt","Paddington - Milton","224.1746031746031746"
"Hotel room","Paddington - Milton","154.0000000000000000"
"Private room","Paddington - Milton","115.8333333333333333"
"Entire home/apt","Pallara - Willawong","224.3333333333333333"
"Private room","Pallara - Willawong","79.9166666666666667"
"Entire home/apt","Parkinson - Drewvale","238.4000000000000000"
"Private room","Parkinson - Drewvale","77.0000000000000000"
"Entire home/apt","Pinjarra Hills - Pullenvale","262.5000000000000000"
"Private room","Pinjarra Hills - Pullenvale","95.0000000000000000"
