"listing_id","latitude","longitude","neighbourhood","room_type","listing_price","avg_price","price_difference_percent","price_status"
"31200254","-27.53472","153.06149","Holland Park West","Entire home/apt","85","183.3333333333333333","-53.63636363636363635500","Underpriced"
"1048933063181453433","-27.59735298553946","152.9521506652236","Inala - Richlands","Private room","120","62.9166666666666667","90.72847682119205287900","Overpriced"
"956969929383040837","-27.605842962784926","152.97532427474707","Inala - Richlands","Entire home/apt","161","137.0000000000000000","17.51824817518248175200","Fairly Priced"
"970750509023600133","-27.6043374","152.9677844","Inala - Richlands","Private room","70","62.9166666666666667","11.25827814569536417900","Fairly Priced"
"1098220202611503450","-27.5864704791841","152.96084442062963","Inala - Richlands","Private room","67","62.9166666666666667","6.49006622516556285700","Fairly Priced"
"990187276337286311","-27.58518530500809","152.95921287733006","Inala - Richlands","Private room","67","62.9166666666666667","6.49006622516556285700","Fairly Priced"
"1079527567942831144","-27.599376611220578","152.95423940317994","Inala - Richlands","Private room","64","62.9166666666666667","1.72185430463576153600","Fairly Priced"
"1008512602256319695","-27.59697","152.95291","Inala - Richlands","Private room","63","62.9166666666666667","0.13245033112582776200","Fairly Priced"
"879532573548969698","-27.5940821","152.9555329","Inala - Richlands","Private room","60","62.9166666666666667","-4.63576158940397356000","Fairly Priced"
"816464489732232903","-27.593756","152.95539","Inala - Richlands","Private room","54","62.9166666666666667","-14.17218543046357620400","Fairly Priced"
"1077001815359565452","-27.585510874477883","152.96134060746832","Inala - Richlands","Private room","53","62.9166666666666667","-15.76158940397350997800","Fairly Priced"
"745866579825150708","-27.6037939","152.984534","Inala - Richlands","Entire home/apt","113","137.0000000000000000","-17.51824817518248175200","Fairly Priced"
"1077012201813125643","-27.588285188724207","152.96137732623902","Inala - Richlands","Private room","48","62.9166666666666667","-23.70860927152317884800","Underpriced"
"1077019965595025341","-27.587788819050107","152.96065692145496","Inala - Richlands","Private room","48","62.9166666666666667","-23.70860927152317884800","Underpriced"
"1082524001365850768","-27.587425539645007","152.96083277538176","Inala - Richlands","Private room","41","62.9166666666666667","-34.83443708609271526600","Underpriced"
"1037857990330902761","-27.495867342357304","152.9712624071979","Indooroopilly","Private room","185","128.1666666666666667","44.34330299089726914300","Overpriced"
"1043270359422823021","-27.50136176844807","152.97715824097395","Indooroopilly","Entire home/apt","223","156.0000000000000000","42.94871794871794871800","Overpriced"
"1103995699499370974","-27.50150113526077","152.97293813365502","Indooroopilly","Entire home/apt","219","156.0000000000000000","40.38461538461538461500","Overpriced"
"1024207141626340215","-27.500152412317853","152.9706507724788","Indooroopilly","Private room","166","128.1666666666666667","29.51885565669700906900","Overpriced"
"688720246023319347","-27.50735","152.96074","Indooroopilly","Entire home/apt","201","156.0000000000000000","28.84615384615384615400","Overpriced"
"827900925848857053","-27.5041267","152.9766066","Indooroopilly","Entire home/apt","200","156.0000000000000000","28.20512820512820512800","Overpriced"
"42023140","-27.50247","152.96831","Indooroopilly","Entire home/apt","170","156.0000000000000000","8.97435897435897435900","Fairly Priced"
"53157465","-27.49592","152.97918","Indooroopilly","Entire home/apt","157","156.0000000000000000","0.64102564102564102600","Fairly Priced"
"40041753","-27.50118","152.97584","Indooroopilly","Entire home/apt","151","156.0000000000000000","-3.20512820512820512800","Fairly Priced"
"4514939","-27.50335","152.97411","Indooroopilly","Private room","120","128.1666666666666667","-6.37191157347204163700","Fairly Priced"
"606895823115293868","-27.50371360778809","152.9743194580078","Indooroopilly","Private room","100","128.1666666666666667","-21.97659297789336803100","Underpriced"
"1054915012021309001","-27.50511201773117","152.9898418180642","Indooroopilly","Private room","99","128.1666666666666667","-22.75682704811443435000","Underpriced"
"1159029899898031893","-27.49458870887162","152.9686173230474","Indooroopilly","Private room","99","128.1666666666666667","-22.75682704811443435000","Underpriced"
"40212962","-27.50137","152.97515","Indooroopilly","Entire home/apt","118","156.0000000000000000","-24.35897435897435897400","Underpriced"
"41699036","-27.5","152.96639","Indooroopilly","Entire home/apt","109","156.0000000000000000","-30.12820512820512820500","Underpriced"
"41808437","-27.49828","152.96632","Indooroopilly","Entire home/apt","85","156.0000000000000000","-45.51282051282051282100","Underpriced"
"48552407","-27.49965","152.96652","Indooroopilly","Entire home/apt","83","156.0000000000000000","-46.79487179487179487200","Underpriced"
"29297700","-27.54435","152.93625","Jindalee - Mount Ommaney","Entire home/apt","377","202.5000000000000000","86.17283950617283950600","Overpriced"
"1037974430750189047","-27.5353377","152.9350409","Jindalee - Mount Ommaney","Entire home/apt","279","202.5000000000000000","37.77777777777777777800","Overpriced"
"1093299685987239440","-27.529688687015508","152.94597998352788","Jindalee - Mount Ommaney","Private room","100","84.5000000000000000","18.34319526627218934900","Fairly Priced"
"1170022167672087396","-27.532068469794332","152.93691639567572","Jindalee - Mount Ommaney","Private room","69","84.5000000000000000","-18.34319526627218934900","Fairly Priced"
"659796161309545454","-27.541597218155744","152.94141535767213","Jindalee - Mount Ommaney","Entire home/apt","165","202.5000000000000000","-18.51851851851851851900","Fairly Priced"
"40577451","-27.52993","152.94444","Jindalee - Mount Ommaney","Entire home/apt","135","202.5000000000000000","-33.33333333333333333300","Underpriced"
"742455932056738039","-27.528874584354575","152.9441872950033","Jindalee - Mount Ommaney","Entire home/apt","130","202.5000000000000000","-35.80246913580246913600","Underpriced"
"43460646","-27.52895","152.94366","Jindalee - Mount Ommaney","Entire home/apt","129","202.5000000000000000","-36.29629629629629629600","Underpriced"
"1099680364042498612","-27.4751255","153.0380299","Kangaroo Point","Entire home/apt","937","241.3047619047619048","288.3056399731617800","Overpriced"
"1092534269405314020","-27.473264971156052","153.03710808754374","Kangaroo Point","Private room","514","135.2400000000000000","280.0650695060632900","Overpriced"
"1172691402960072901","-27.466115588655136","153.03553622513908","Kangaroo Point","Entire home/apt","900","241.3047619047619048","272.9723329518096100","Overpriced"
"1084460013730141251","-27.47419576283298","153.03871038520953","Kangaroo Point","Private room","400","135.2400000000000000","195.7704821058858300","Overpriced"
"1971015","-27.47584","153.03825","Kangaroo Point","Entire home/apt","700","241.3047619047619048","190.0895922958519200","Overpriced"
"813800801752657528","-27.4712834","153.0368801","Kangaroo Point","Entire home/apt","605","241.3047619047619048","150.7202904842720100","Overpriced"
"937992506458189500","-27.4787024","153.0346794","Kangaroo Point","Entire home/apt","586","241.3047619047619048","142.8464301219560300","Overpriced"
"1061456902814634931","-27.483203502549134","153.0317215680143","Kangaroo Point","Entire home/apt","560","241.3047619047619048","132.0716738366815300","Overpriced"
"1014930963089147030","-27.4831449","153.0315465","Kangaroo Point","Entire home/apt","560","241.3047619047619048","132.0716738366815300","Overpriced"
"16277121","-27.47437","153.03748","Kangaroo Point","Private room","266","135.2400000000000000","96.68737060041407867500","Overpriced"
"744667347718795059","-27.4826004","153.0404447","Kangaroo Point","Entire home/apt","450","241.3047619047619048","86.48616647590480322300","Overpriced"
"868848785555861920","-27.4658","153.03419","Kangaroo Point","Entire home/apt","399","241.3047619047619048","65.35106760863559219100","Overpriced"
"1661593","-27.46927","153.03663","Kangaroo Point","Entire home/apt","390","241.3047619047619048","61.62134427911749612600","Overpriced"
"21707427","-27.47576","153.038559","Kangaroo Point","Entire home/apt","370","241.3047619047619048","53.33307021352172709400","Overpriced"
"30095993","-27.47157","153.03671","Kangaroo Point","Private room","206","135.2400000000000000","52.32179828453120378600","Overpriced"
"11207986","-27.46718","153.0365","Kangaroo Point","Entire home/apt","363","241.3047619047619048","50.43217429056320793300","Overpriced"
"38217726","-27.4733","153.03706","Kangaroo Point","Entire home/apt","360","241.3047619047619048","49.18893318072384257800","Overpriced"
"14939552","-27.47583","153.03824","Kangaroo Point","Entire home/apt","350","241.3047619047619048","45.04479614792595806200","Overpriced"
"715742017527934627","-27.47077","153.03649","Kangaroo Point","Entire home/apt","350","241.3047619047619048","45.04479614792595806200","Overpriced"
"1130822245603857565","-27.47526","153.03754","Kangaroo Point","Entire home/apt","328","241.3047619047619048","35.92769467577061212700","Overpriced"
"1037018028144262497","-27.4751255","153.0380299","Kangaroo Point","Entire home/apt","310","241.3047619047619048","28.46824801673441999800","Overpriced"
"814617825708065338","-27.47467","153.03834","Kangaroo Point","Entire home/apt","301","241.3047619047619048","24.73852468721632393300","Overpriced"
"47433274","-27.46889","153.03679","Kangaroo Point","Entire home/apt","300","241.3047619047619048","24.32411098393653548200","Overpriced"
"710341937904891348","-27.468913078921403","153.03624575641402","Kangaroo Point","Entire home/apt","300","241.3047619047619048","24.32411098393653548200","Overpriced"
"39371689","-27.47483","153.03899","Kangaroo Point","Entire home/apt","293","241.3047619047619048","21.42321506097801632100","Overpriced"
"973816501275255601","-27.4745985","153.0371656","Kangaroo Point","Entire home/apt","286","241.3047619047619048","18.52231913801949715900","Fairly Priced"
"994515805420518838","-27.483019753904102","153.04028272097534","Kangaroo Point","Entire home/apt","275","241.3047619047619048","13.96376840194182419200","Fairly Priced"
"47971953","-27.47478","153.03618","Kangaroo Point","Entire home/apt","275","241.3047619047619048","13.96376840194182419200","Fairly Priced"
"1065472276605134828","-27.4689535","153.036805","Kangaroo Point","Entire home/apt","272","241.3047619047619048","12.72052729210245883700","Fairly Priced"
"701641414577519916","-27.47981","153.03557","Kangaroo Point","Entire home/apt","265","241.3047619047619048","9.81963136914393967600","Fairly Priced"
"998838874302847694","-27.470071020720763","153.0343418388039","Kangaroo Point","Entire home/apt","261","241.3047619047619048","8.16197655602478586900","Fairly Priced"
"1040872738948912888","-27.47429990783247","153.03734867857222","Kangaroo Point","Entire home/apt","257","241.3047619047619048","6.50432174290563206300","Fairly Priced"
"953066097530408634","-27.4759532","153.0356296","Kangaroo Point","Private room","144","135.2400000000000000","6.47737355811889973400","Fairly Priced"
"776741167756171350","-27.47796","153.04001","Kangaroo Point","Entire home/apt","254","241.3047619047619048","5.26108063306626670800","Fairly Priced"
"664527331414481162","-27.47826","153.03984","Kangaroo Point","Private room","140","135.2400000000000000","3.51966873706004140800","Fairly Priced"
"15331018","-27.47721","153.03838","Kangaroo Point","Private room","140","135.2400000000000000","3.51966873706004140800","Fairly Priced"
"891572546968606491","-27.47556","153.03872","Kangaroo Point","Entire home/apt","248","241.3047619047619048","2.77459841338753599800","Fairly Priced"
"38074538","-27.4684","153.03695","Kangaroo Point","Entire home/apt","246","241.3047619047619048","1.94577100682795909500","Fairly Priced"
"613981825616238241","-27.47301","153.03834","Kangaroo Point","Entire home/apt","245","241.3047619047619048","1.53135730354817064300","Fairly Priced"
"23046422","-27.47693","153.04051","Kangaroo Point","Entire home/apt","241","241.3047619047619048","-0.12629750957098316300","Fairly Priced"
"834948067209728693","-27.4748607","153.036222","Kangaroo Point","Entire home/apt","236","241.3047619047619048","-2.19836602596992542100","Fairly Priced"
"904487856393899915","-27.470390646281352","153.0386412667121","Kangaroo Point","Entire home/apt","236","241.3047619047619048","-2.19836602596992542100","Fairly Priced"
"48214521","-27.47065","153.03608","Kangaroo Point","Entire home/apt","233","241.3047619047619048","-3.44160713580929077600","Fairly Priced"
"605912274736352925","-27.47668","153.03912","Kangaroo Point","Private room","130","135.2400000000000000","-3.87459331558710440700","Fairly Priced"
"940426113011638100","-27.476605","153.0396398","Kangaroo Point","Entire home/apt","231","241.3047619047619048","-4.27043454236886767900","Fairly Priced"
"687799208391226486","-27.47726","153.03862","Kangaroo Point","Private room","129","135.2400000000000000","-4.61401952085181898800","Fairly Priced"
"50488978","-27.47521","153.03891","Kangaroo Point","Entire home/apt","230","241.3047619047619048","-4.68484824564865613100","Fairly Priced"
"937386911104907907","-27.484581730475124","153.0375907539673","Kangaroo Point","Entire home/apt","225","241.3047619047619048","-6.75691676204759838900","Fairly Priced"
"1127932610908687386","-27.4759268","153.0392823","Kangaroo Point","Entire home/apt","223","241.3047619047619048","-7.58574416860717529200","Fairly Priced"
"1018504155826030499","-27.47620133326819","153.03875270139972","Kangaroo Point","Entire home/apt","222","241.3047619047619048","-8.00015787188696374300","Fairly Priced"
"22535986","-27.46861","153.03676","Kangaroo Point","Entire home/apt","220","241.3047619047619048","-8.82898527844654064700","Fairly Priced"
"974867345449354588","-27.477728272126097","153.03442857924853","Kangaroo Point","Entire home/apt","215","241.3047619047619048","-10.90105379484548290500","Fairly Priced"
"27763033","-27.48059","153.03936","Kangaroo Point","Private room","120","135.2400000000000000","-11.26885536823425022200","Fairly Priced"
"13363566","-27.47586","153.0402","Kangaroo Point","Private room","120","135.2400000000000000","-11.26885536823425022200","Fairly Priced"
"1069115748679190660","-27.480185203140916","153.0351717347772","Kangaroo Point","Entire home/apt","211","241.3047619047619048","-12.55870860796463671100","Fairly Priced"
"1115578910874174004","-27.48213889375529","153.030306490491","Kangaroo Point","Entire home/apt","210","241.3047619047619048","-12.97312231124442516300","Fairly Priced"
"823181287411389187","-27.48033","153.03998","Kangaroo Point","Entire home/apt","201","241.3047619047619048","-16.70284564076252122700","Fairly Priced"
"1013910999204953141","-27.46930560258372","153.03660979640628","Kangaroo Point","Entire home/apt","200","241.3047619047619048","-17.11725934404230967900","Fairly Priced"
"1006177745403748607","-27.4767128","153.0376291","Kangaroo Point","Entire home/apt","200","241.3047619047619048","-17.11725934404230967900","Fairly Priced"
"841487420186817886","-27.4720738","153.0380299","Kangaroo Point","Entire home/apt","200","241.3047619047619048","-17.11725934404230967900","Fairly Priced"
"624162234822814617","-27.46928","153.0376","Kangaroo Point","Entire home/apt","195","241.3047619047619048","-19.18932786044125193700","Fairly Priced"
"724588624311296660","-27.46911","153.03723","Kangaroo Point","Entire home/apt","195","241.3047619047619048","-19.18932786044125193700","Fairly Priced"
"1048098639262947014","-27.467170150345375","153.03733778796877","Kangaroo Point","Entire home/apt","194","241.3047619047619048","-19.60374156372104038800","Fairly Priced"
"12860658","-27.48212","153.0392","Kangaroo Point","Entire home/apt","190","241.3047619047619048","-21.26139637684019419500","Underpriced"
"959776048337303398","-27.47110682481969","153.0371729160722","Kangaroo Point","Entire home/apt","190","241.3047619047619048","-21.26139637684019419500","Underpriced"
"6189062","-27.48266","153.03342","Kangaroo Point","Entire home/apt","190","241.3047619047619048","-21.26139637684019419500","Underpriced"
"937951856582421513","-27.479568963797227","153.03562110248723","Kangaroo Point","Entire home/apt","190","241.3047619047619048","-21.26139637684019419500","Underpriced"
"17225631","-27.48187","153.03365","Kangaroo Point","Entire home/apt","190","241.3047619047619048","-21.26139637684019419500","Underpriced"
"887359842934009679","-27.48085","153.03425","Kangaroo Point","Entire home/apt","190","241.3047619047619048","-21.26139637684019419500","Underpriced"
"9189368","-27.46823","153.03592","Kangaroo Point","Private room","106","135.2400000000000000","-21.62082224194025436300","Underpriced"
"1162877503948605708","-27.4787289","153.0349051","Kangaroo Point","Entire home/apt","189","241.3047619047619048","-21.67581008011998264600","Underpriced"
"1016448839560312974","-27.46941","153.03759","Kangaroo Point","Entire home/apt","185","241.3047619047619048","-23.33346489323913645300","Underpriced"
"937841931236566339","-27.480672852581716","153.03410611484838","Kangaroo Point","Entire home/apt","181","241.3047619047619048","-24.99111970635829025900","Underpriced"
"937913071190925542","-27.47978499347021","153.03598215651158","Kangaroo Point","Entire home/apt","181","241.3047619047619048","-24.99111970635829025900","Underpriced"
"887329314754573522","-27.47981","153.034","Kangaroo Point","Entire home/apt","181","241.3047619047619048","-24.99111970635829025900","Underpriced"
"937234900597132794","-27.481095010760782","153.03538352923505","Kangaroo Point","Entire home/apt","181","241.3047619047619048","-24.99111970635829025900","Underpriced"
"887325421143586195","-27.4791","153.0358","Kangaroo Point","Entire home/apt","181","241.3047619047619048","-24.99111970635829025900","Underpriced"
