"id","host_id","host_name","bedrooms","bathrooms","price","availability_90","reviews_per_month"
"37916350","119554745","Annies Guest House","4","4","400.00","89","0.07"
"793934615472394246","38633605","Anthea","3","2","172.00","11","0.42"
"1135765121735776434","106181623","Anthony","4","2","457.00","49","2"
"937111068916610906","100717885","Anton","4","2.5","690.00","24","0.19"
"776137205242935175","28729038","Antony","2","2","400.00","88","0.25"
"875101111058179133","138649185","Apac","2","2","1050.00","88",NULL
"715027302082534357","138649185","Apac","2","2","950.00","83",NULL
"1030256053332537692","138649185","Apac","2","2","860.00","88",NULL
"722981359408027455","138649185","Apac","2","1","858.00","88",NULL
"589595321457070621","138649185","Apac","3","2","850.00","88",NULL
"765739773874635591","138649185","Apac","2","2","800.00","88",NULL
"52416918","138649185","Apac","3","2","785.00","89","0.08"
"50333284","138649185","Apac","2","2","670.00","88",NULL
"50624952","138649185","Apac","2","1","670.00","88",NULL
"1038909763530787401","138649185","Apac","2","2","660.00","89",NULL
"584572159425768998","138649185","Apac","3","2","657.00","88",NULL
"715700343539600033","138649185","Apac","2","2","600.00","88",NULL
"1038909674561490752","138649185","Apac","2","2","600.00","89",NULL
"733004512586605833","138649185","Apac","2","2","599.00","88","0.12"
"694745034371111247","138649185","Apac","2","1","585.00","88",NULL
"53369699","138649185","Apac","2","2","581.00","88","0.08"
"53870387","138649185","Apac","2","2","580.00","88",NULL
"649657713617176389","138649185","Apac","2","2","560.00","88",NULL
"50321341","138649185","Apac","2","1","550.00","88","0.04"
"727210283375314720","138649185","Apac","2","2","520.00","88",NULL
"50577149","138649185","Apac","2","2","515.00","88","0.05"
"587239887112793369","138649185","Apac","3","2","507.00","88",NULL
"649615960800996514","138649185","Apac","2","2","506.00","88",NULL
"52852288","138649185","Apac","2","2","469.00","88",NULL
"898213699092523251","138649185","Apac","2","2","385.00","89",NULL
"21361606","21904280","Arielle","7","3","709.00","16","2.8"
"28766677","21904280","Arielle","5","2","559.00","30","2.64"
"1024291829626042833","527580314","Arvinder","3","2","206.00","38","5.47"
"1072811941622455788","407608341","Aryan","2","1","190.00","42","3.55"
"611829066472470097","25719050","Ashleigh","2","1","195.00","40","2.3"
"1147651413425423290","170995118","Ashley","3","2","268.00","27",NULL
"1007907079932486712","532486292","Ashoka","2","1","130.00","89","3.27"
"1145927388966426003","469195899","AuYu","5","3","358.00","70","0.88"
"1156927182762590972","469195899","AuYu","2","2","191.00","56",NULL
"974219604064447281","469195899","AuYu","2","2","170.00","43","3.62"
"1164111408862368265","469195899","AuYu","2","2","162.00","70",NULL
"963929288217841969","533352889","Bao Chau","3","1","116.00","15","9"
"25918105","25559511","Barbara","4","3","300.00","90","0.39"
"21741329","21682506","Barbara","2","1","75.00","4","2.28"
"807586582116839838","496857145","Bardi","2","2.5","289.00","42","2.88"
"859721357526573764","88049718","Barry & Lynn","3","2.5","355.00","50","0.69"
"24253004","88049718","Barry & Lynn","2","2.5","260.00","52","0.34"
"662732003454123457","457988253","Bee","2","1.5","364.00","81","0.5"
"1075585415972149409","2318421","Bell","2","2","228.00","75",NULL
"785735565254480229","99473754","Ben","4","4","640.00","70","0.92"
"808944852618622920","22028206","Ben","4","2","400.00","83",NULL
"785735383658674588","99473754","Ben","2","2","278.00","71","2.47"
"784573524125376895","99473754","Ben","2","2","268.00","76","1.92"
"970000756032322416","119741703","Ben","2","1","260.00","20","1.21"
"779541527177707792","8739346","Ben","3","1","239.00","48","0.19"
"5137002","8739346","Ben","2","1","230.00","34","0.38"
"653819486713352529","63314604","Ben","3","1","217.00","54","2.57"
"747242732127348100","12369170","Benjamin","3","2","427.00","34","2.84"
"734272462514701322","475712739","Benjamin","2","2","311.00","88","3.62"
"1012898463456114086","222692527","Bertrand","5","5.5","464.00","80","0.94"
"16260145","106331061","Beth","2","1.5","309.00","12","0.5"
"50297522","28387290","Bev","2","1","155.00","50","1.31"
"1071361241769671920","975084","Bianca","3","2.5","224.00","87",NULL
"974209748702238317","523096117","Bianca","2","2","181.00","41","3.74"
"20788952","149019496","Bianca & Lizzie","2","1","139.00","25","2.42"
"779155850232936541","490973202","Bikash","3","1","212.00","65","2.06"
