"listing_id","total_days","booked_days","occupancy_rate"
"43720073","365","160","0.4383561643835616"
"17847060","365","1","0.0027397260273972603"
"42366316","365","6","0.01643835616438356"
"10176515","365","217","0.5945205479452055"
"869136262031193000","365","126","0.3452054794520548"
"845865100697797000","365","7","0.019178082191780823"
"765696357262795000","365","57","0.15616438356164383"
"911893951060275000","365","297","0.8136986301369863"
"53852039","365","312","0.8547945205479452"
"701201744792416000","365","293","0.8027397260273973"
"782772626167988000","365","55","0.1506849315068493"
"611791071147808000","365","272","0.7452054794520548"
"895894271448951000","365","310","0.8493150684931506"
"2401148","365","365","1"
"703059321738174000","365","264","0.7232876712328767"
"29552362","365","305","0.8356164383561644"
"28160565","365","348","0.9534246575342465"
"807301445342686000","365","129","0.35342465753424657"
"31224700","365","30","0.0821917808219178"
"777909945861007000","365","298","0.8164383561643835"
"740063214138675000","365","40","0.1095890410958904"
"17914777","365","321","0.8794520547945206"
"774530809746310000","365","276","0.7561643835616438"
"557055256188272000","365","159","0.43561643835616437"
"892372220101921000","365","188","0.5150684931506849"
"20499332","365","130","0.3561643835616438"
"726967730507061000","365","37","0.10136986301369863"
"826515170798569000","365","0","0"
"17689741","365","186","0.5095890410958904"
"784543094645170000","365","283","0.7753424657534247"
"4609151","365","304","0.8328767123287671"
"13130310","365","365","1"
"15688517","365","280","0.7671232876712328"
"898220024789056000","365","98","0.2684931506849315"
"11003332","365","298","0.8164383561643835"
"694580563691449000","365","57","0.15616438356164383"
"779075383479872000","365","234","0.6410958904109589"
"7972932","365","365","1"
"38029783","365","1","0.0027397260273972603"
"782899072164351000","365","285","0.7808219178082192"
"645271238531414000","365","323","0.8849315068493151"
"879397451847409000","365","298","0.8164383561643835"
"39370376","365","167","0.4575342465753425"
"48527449","365","281","0.7698630136986301"
"15009089","365","297","0.8136986301369863"
"666216355853478000","365","55","0.1506849315068493"
"13849413","365","343","0.9397260273972603"
"25430633","365","22","0.06027397260273973"
"47817207","365","3","0.00821917808219178"
"640306891331786000","365","115","0.3150684931506849"
"40745246","365","343","0.9397260273972603"
"839286161615727000","365","13","0.03561643835616438"
"38034693","365","365","1"
"9224682","365","147","0.40273972602739727"
"31025176","365","226","0.6191780821917808"
"49532839","365","43","0.1178082191780822"
"688546430645627000","365","297","0.8136986301369863"
"44172221","365","238","0.6520547945205479"
"24706119","365","187","0.5123287671232877"
"47495076","365","12","0.03287671232876712"
"815559880573217000","365","5","0.0136986301369863"
"26398816","365","7","0.019178082191780823"
"881322801418729000","365","30","0.0821917808219178"
"10395426","365","115","0.3150684931506849"
"42344356","365","275","0.7534246575342466"
"45866440","365","355","0.9726027397260274"
"53958634","365","26","0.07123287671232877"
"813800801752657000","365","235","0.6438356164383562"
"585033879026153000","365","126","0.3452054794520548"
"48472484","365","105","0.2876712328767123"
"653086349967456000","365","296","0.810958904109589"
"50864105","365","260","0.7123287671232876"
"777391313831124000","365","321","0.8794520547945206"
"891690061944312000","365","169","0.46301369863013697"
"4976424","365","56","0.15342465753424658"
"21248745","365","200","0.547945205479452"
"4966443","365","66","0.18082191780821918"
"47100080","365","201","0.5506849315068493"
"856844173457286000","365","352","0.9643835616438357"
"40764222","365","348","0.9534246575342465"
"634527421395502000","365","315","0.863013698630137"
"715700343539600000","365","2","0.005479452054794521"
"29318422","365","7","0.019178082191780823"
"849115336711673000","365","365","1"
"52408945","365","14","0.038356164383561646"
"50234067","365","292","0.8"
"911157584559244000","365","246","0.673972602739726"
"25429882","365","201","0.5506849315068493"
"20015032","365","274","0.7506849315068493"
"12811038","365","365","1"
"15424194","365","118","0.3232876712328767"
"9579054","365","58","0.1589041095890411"
"35021374","365","351","0.9616438356164384"
"19738421","365","185","0.5068493150684932"
"23862739","365","92","0.25205479452054796"
"33639145","365","289","0.7917808219178082"
"12783747","365","277","0.7589041095890411"
"662732003454123000","365","18","0.049315068493150684"
"1963332","365","208","0.5698630136986301"
"781349252373317000","365","6","0.01643835616438356"
"881412595604238000","365","315","0.863013698630137"
"788517736761247000","365","103","0.2821917808219178"
"10834023","365","249","0.6821917808219178"
"677096982723098000","365","199","0.5452054794520548"
"32340733","365","362","0.9917808219178083"
"16886625","365","230","0.6301369863013698"
"50536524","365","0","0"
"32315486","365","307","0.8410958904109589"
"793765506299062000","365","89","0.24383561643835616"
"44201538","365","166","0.4547945205479452"
"47971592","365","365","1"
"47165672","365","61","0.16712328767123288"
"47395901","365","345","0.9452054794520548"
"13779324","365","102","0.27945205479452057"
"53517990","365","72","0.19726027397260273"
"42300546","365","330","0.9041095890410958"
"15535836","365","135","0.3698630136986301"
"660761097985791000","365","8","0.021917808219178082"
"906663483125012000","365","274","0.7506849315068493"
"619050040931052000","365","46","0.12602739726027398"
"43734109","365","365","1"
"821504212736813000","365","234","0.6410958904109589"
"17142876","365","20","0.0547945205479452"
"648757623104400000","365","205","0.5616438356164384"
"41808437","365","336","0.9205479452054794"
"34691232","365","85","0.2328767123287671"
"784547503974277000","365","98","0.2684931506849315"
"882743283435546000","365","334","0.915068493150685"
"468726","365","11","0.030136986301369864"
"43111607","365","18","0.049315068493150684"
"20733340","365","234","0.6410958904109589"
"766961322240557000","365","190","0.5205479452054794"
"38028080","365","297","0.8136986301369863"
"31397398","365","193","0.5287671232876713"
"560256161975220000","365","16","0.043835616438356165"
"43527800","365","205","0.5616438356164384"
"40456286","365","329","0.9013698630136986"
"695244039869801000","365","67","0.18356164383561643"
"801079473861749000","365","4","0.010958904109589041"
"680567529719066000","365","186","0.5095890410958904"
"912714659211719000","365","365","1"
"710239180434886000","365","365","1"
"774723214492244000","365","46","0.12602739726027398"
"912594817796205000","365","15","0.0410958904109589"
"44668309","365","163","0.4465753424657534"
"663252431095734000","365","118","0.3232876712328767"
"30076475","365","327","0.8958904109589041"
"649615960800996000","365","2","0.005479452054794521"
"817182869291293000","365","298","0.8164383561643835"
"54054629","365","273","0.7479452054794521"
"54268362","365","321","0.8794520547945206"
"893710571295498000","365","62","0.16986301369863013"
"17127779","365","75","0.2054794520547945"
"17384232","365","254","0.6958904109589041"
"889945381523826000","365","192","0.5260273972602739"
"9417386","365","279","0.7643835616438356"
"35563740","365","344","0.9424657534246575"
"33868803","365","232","0.6356164383561644"
"1090129","365","28","0.07671232876712329"
"10345329","365","194","0.5315068493150685"
"31609486","365","193","0.5287671232876713"
"755375302360388000","365","124","0.33972602739726027"
"39240700","365","301","0.8246575342465754"
"715027302082534000","365","7","0.019178082191780823"
"778695854425917000","365","34","0.09315068493150686"
"887325421143586000","365","1","0.0027397260273972603"
"843605027811652000","365","7","0.019178082191780823"
