"neighbourhood","room_type","avg_price","avg_lat","avg_long"
"Brighton (Qld)","Entire home/apt","197.30434782608697","-27.29783886327541","153.05579195363626"
"Brisbane Airport","Entire home/apt","129","-27.40649","153.09874"
"Brisbane Airport","Private room","249","-27.38681","153.11617"
"Brisbane City","Entire home/apt","269.50913838120107","-27.468702937261543","153.02667767626767"
"Brisbane City","Shared room","94.33333333333333","-27.466349000000005","153.02159396666664"
"Brisbane City","Private room","152.72972972972974","-27.468206205105787","153.02690681721663"
"Brisbane City","Hotel room","542.5","-27.471215","153.02508"
"Brookfield - Kenmore Hills","Private room","139","-27.476035000000003","152.860355"
"Brookfield - Kenmore Hills","Entire home/apt","634.25","-27.494060640867804","152.90174653056852"
"Bulimba","Private room","122","-27.4444568","153.0624027"
"Bulimba","Entire home/apt","317.94117647058823","-27.449482505199445","153.05911757128882"
"Calamvale - Stretton","Private room","67.16666666666667","-27.619543241396542","153.05568617692046"
"Calamvale - Stretton","Entire home/apt","266.46153846153845","-27.619888275379463","153.056112759961"
"Camp Hill","Private room","86.57142857142857","-27.491117816229842","153.07681606688445"
"Camp Hill","Entire home/apt","331.4","-27.491690832859174","153.07277522454538"
"Cannon Hill","Entire home/apt","291.4","-27.468130752418794","153.08836192785265"
"Cannon Hill","Private room","90.5","-27.4646175","153.086932"
"Carina","Entire home/apt","183.5","-27.484641010042655","153.09055907079517"
"Carina","Shared room","84","-27.48500907732465","153.1027430940369"
"Carina","Private room","99.75","-27.48873437121099","153.0919213687372"
"Carina Heights","Entire home/apt","151.71428571428572","-27.501629289536258","153.091879502558"
"Carina Heights","Private room","63.5","-27.50694110173179","153.09254639228035"
"Carindale","Private room","75","-27.510105","153.11565000000002"
"Carindale","Entire home/apt","303.07142857142856","-27.51429017940476","153.11541418468784"
"Carseldine","Private room","199","-27.3417961","153.0197495"
"Carseldine","Entire home/apt","167.5","-27.346603200718523","153.02218520661697"
"Chapel Hill","Entire home/apt","190.25","-27.497826636136608","152.9511430470639"
"Chapel Hill","Private room","86","-27.497991259624705","152.94676050036685"
"Chelmer - Graceville","Private room","109.33333333333333","-27.515814200000005","152.9776322"
"Chelmer - Graceville","Entire home/apt","158.8181818181818","-27.518342313978952","152.98048503452898"
"Chermside","Entire home/apt","206.7391304347826","-27.386765306651842","153.0302969633528"
"Chermside","Private room","87.88888888888889","-27.387744447835797","153.03023261142172"
"Chermside West","Entire home/apt","153.75","-27.38637448041363","153.01470095472317"
"Clayfield","Entire home/apt","228.95","-27.422003949612723","153.05137540721952"
"Clayfield","Private room","122","-27.417191316873215","153.05662775926737"
"Coopers Plains","Entire home/apt","101.66666666666667","-27.56300893164409","153.0447901075509"
"Coopers Plains","Private room","69.875","-27.565873168113217","153.04591720124736"
"Coorparoo","Entire home/apt","233.89473684210526","-27.49631384610127","153.06013529864867"
"Coorparoo","Private room","111.875","-27.494464565275848","153.05683118875058"
"Corinda","Private room","165","-27.5426434","152.98522294999998"
"Corinda","Entire home/apt","125","-27.54036","152.979815"
"Darra - Sumner","Private room","76","-27.56405","152.92844"
"Darra - Sumner","Entire home/apt","125.66666666666667","-27.561162959232902","152.94819444187533"
"Deagon","Entire home/apt","173.66666666666666","-27.325434077423967","153.06146657927766"
"Deagon","Private room","55","-27.333015","153.05575"
"Doolandella","Private room","75","-27.611769353530963","152.9887172910414"
"Doolandella","Entire home/apt","206.5","-27.61227340025494","152.9816455254208"
"Durack","Entire home/apt","200","-27.591604940000003","152.98249776"
"Durack","Private room","59","-27.582424780262034","152.98194749800896"
"Eagle Farm - Pinkenba","Entire home/apt","166.14285714285714","-27.440674970447393","153.0710392608098"
"Eagle Farm - Pinkenba","Private room","113","-27.43662777622286","153.08455897160718"
"East Brisbane","Private room","96","-27.4834736225285","153.0431519787222"
"East Brisbane","Entire home/apt","203.86111111111111","-27.483905854004306","153.04314350988395"
"Eight Mile Plains","Shared room","201","-27.58539","153.09593"
"Eight Mile Plains","Private room","95.25","-27.581172426909284","153.08913271088323"
