"listing_id","total_days","booked_days","occupancy_rate","average_rating","number_of_reviews"
"35043488","365","195","0.5342465753424658","4.22360248447205","161"
"34948557","365","58","0.1589041095890411","4.223463687150838","358"
"35181290","365","286","0.7835616438356164","4.223194748358862","457"
"46041053","365","343","0.9397260273972603","4.222641509433962","530"
"53727684","365","243","0.6657534246575343","4.222222222222222","27"
"33783602","365","306","0.8383561643835616","4.222222222222222","9"
"47570437","365","313","0.8575342465753425","4.222222222222222","45"
"50401503","365","21","0.057534246575342465","4.222222222222222","108"
"23992212","365","331","0.9068493150684932","4.222222222222222","45"
"41914573","365","357","0.9780821917808219","4.222222222222222","9"
"20015032","365","274","0.7506849315068493","4.222222222222222","9"
"53532125","365","10","0.0273972602739726","4.221238938053097","113"
"21756228","365","237","0.6493150684931507","4.2210242587601075","371"
"16020269","365","199","0.5452054794520548","4.220779220779221","78"
"42627550","365","0","0","4.220588235294118","68"
"27595022","365","331","0.9068493150684932","4.220532319391635","263"
"50268992","365","234","0.6410958904109589","4.220338983050848","177"
"53070063","365","82","0.22465753424657534","4.22","50"
"39853183","365","286","0.7835616438356164","4.21978021978022","273"
"22015488","365","314","0.8602739726027397","4.219543147208122","788"
"16886625","365","230","0.6301369863013698","4.218978102189781","137"
"13163381","365","13","0.03561643835616438","4.21875","32"
"49533747","365","15","0.0410958904109589","4.217877094972067","179"
"50313215","365","356","0.9753424657534246","4.217821782178218","101"
"47208200","365","291","0.7972602739726027","4.217391304347826","23"
"10090617","365","112","0.30684931506849317","4.217391304347826","185"
"21868601","365","218","0.5972602739726027","4.217391304347826","23"
"18304137","365","194","0.5315068493150685","4.216710182767624","383"
"15472361","365","360","0.9863013698630136","4.216666666666667","60"
"11207986","365","219","0.6","4.2160278745644595","288"
"35615145","365","339","0.9287671232876712","4.215320910973085","483"
"46932401","365","355","0.9726027397260274","4.214814814814815","135"
"22788149","365","327","0.8958904109589041","4.214285714285714","42"
"43025121","365","1","0.0027397260273972603","4.214285714285714","14"
