"neighbourhood","room_type","avg_occupancy_rate"
"Wooloowin - Lutwyche","Entire home/apt","0.52095890410958904110"
"Wooloowin - Lutwyche","Private room","0.47773972602739726028"
"Wynnum","Private room","0.62610797743755036261"
"Wynnum","Entire home/apt","0.58987492555092316855"
"Wynnum West - Hemmant","Private room","0.48493150684931506849"
"Wynnum West - Hemmant","Entire home/apt","0.42328767123287671233"
"Yeronga","Private room","0.62496194824961948250"
"Yeronga","Entire home/apt","0.50657534246575342466"
"Zillmere","Private room","0.68767123287671232877"
"Zillmere","Entire home/apt","0.58767123287671232877"
